Cable ID,PwrE,HybE,RotW,FlxW,OCHand,MFHand
K6,PwrE_EspirePro,,RotW_ElectronicWristRotator,,OCHand_Genesis_Hand,
K6,PwrE_EspirePro,,RotW_ElectronicWristRotator,,OCHand_iLimbHands,
K6,PwrE_EspirePro,,RotW_ElectronicWristRotator,,OCHand_Myo_Kinisi,
K6,PwrE_EspirePro,,RotW_ElectronicWristRotator,,OCHand_MyoHandVariPlusSpeed,
K6,PwrE_EspirePro,,RotW_ElectronicWristRotator,,OCHand_ProPlusETD_ETD2,
K6,PwrE_EspirePro,,RotW_ElectronicWristRotator,,OCHand_ProPlusHand,
K6,PwrE_EspirePro,,RotW_ElectronicWristRotator,,OCHand_SensorHandSpeed,
K6,PwrE_EspirePro,,RotW_ElectronicWristRotator,,OCHand_SystemElectricGreifer,
K6,PwrE_EspirePro,,RotW_ElectronicWristRotator,,OCHand_SystemElectricHand,
K6,PwrE_EspirePro,,RotW_ElectronicWristRotator,,OCHand_TASKA,
K6,PwrE_EspirePro,,RotW_ElectronicWristRotator,,OCHand_VincentEvolution3,
K8,PwrE_EspirePro,,RotW_ElectronicWristRotator,,,MFHand_iLimbQuantum
K8,PwrE_EspirePro,,RotW_ElectronicWristRotator,,,MFHand_VincentEvolution3
K6,PwrE_EspirePro,,RotW_StandardWristRotator,,OCHand_AbilityHand,
K6,PwrE_EspirePro,,RotW_StandardWristRotator,,OCHand_Adams_Hand,
K6,PwrE_EspirePro,,RotW_StandardWristRotator,,OCHand_AetherZeus,
K6,PwrE_EspirePro,,RotW_StandardWristRotator,,OCHand_bebionic,
K6,PwrE_EspirePro,,RotW_StandardWristRotator,,OCHand_CovviHand,
K6,PwrE_EspirePro,,RotW_StandardWristRotator,,OCHand_Esper_Hand,
K6,PwrE_EspirePro,,RotW_StandardWristRotator,,OCHand_Genesis_Hand,
K6,PwrE_EspirePro,,RotW_StandardWristRotator,,OCHand_iLimbHands,
K6,PwrE_EspirePro,,RotW_StandardWristRotator,,OCHand_Myo_Kinisi,
K6,PwrE_EspirePro,,RotW_StandardWristRotator,,OCHand_MyoHandVariPlusSpeed,
K6,PwrE_EspirePro,,RotW_StandardWristRotator,,OCHand_ProPlusETD_ETD2,
K6,PwrE_EspirePro,,RotW_StandardWristRotator,,OCHand_ProPlusHand,
